"citizen","geo","time","values","iso2"
"Afghanistan","Sweden",2015-09-01,4225,"SE"
"Afghanistan","Slovenia",2015-09-01,NA,"SI"
"Afghanistan","Slovakia",2015-09-01,NA,"SK"
"Afghanistan","Total",2015-09-01,10105,"TOTAL"
"Afghanistan","United Kingdom",2015-09-01,NA,"UK"
"Antigua and Barbuda","Austria",2015-09-01,NA,"AT"
"Antigua and Barbuda","Belgium",2015-09-01,0,"BE"
"Antigua and Barbuda","Bulgaria",2015-09-01,0,"BG"
"Antigua and Barbuda","Switzerland",2015-09-01,0,"CH"
"Antigua and Barbuda","Cyprus",2015-09-01,NA,"CY"
"Antigua and Barbuda","Czech Republic",2015-09-01,NA,"CZ"
"Antigua and Barbuda","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"Antigua and Barbuda","Denmark",2015-09-01,NA,"DK"
"Antigua and Barbuda","Estonia",2015-09-01,NA,"EE"
"Antigua and Barbuda","Greece",2015-09-01,NA,"EL"
"Antigua and Barbuda","Spain",2015-09-01,NA,"ES"
"Antigua and Barbuda","European Union (28 countries)",2015-09-01,0,"EU28"
"Antigua and Barbuda","Finland",2015-09-01,0,"FI"
"Antigua and Barbuda","France",2015-09-01,NA,"FR"
"Antigua and Barbuda","Croatia",2015-09-01,NA,"HR"
"Antigua and Barbuda","Hungary",2015-09-01,NA,"HU"
"Antigua and Barbuda","Ireland",2015-09-01,NA,"IE"
"Antigua and Barbuda","Iceland",2015-09-01,NA,"IS"
"Antigua and Barbuda","Italy",2015-09-01,NA,"IT"
"Antigua and Barbuda","Liechtenstein",2015-09-01,0,"LI"
"Antigua and Barbuda","Lithuania",2015-09-01,NA,"LT"
"Antigua and Barbuda","Luxembourg",2015-09-01,NA,"LU"
"Antigua and Barbuda","Latvia",2015-09-01,NA,"LV"
"Antigua and Barbuda","Malta",2015-09-01,NA,"MT"
"Antigua and Barbuda","Netherlands",2015-09-01,NA,"NL"
"Antigua and Barbuda","Norway",2015-09-01,0,"NO"
"Antigua and Barbuda","Poland",2015-09-01,0,"PL"
"Antigua and Barbuda","Portugal",2015-09-01,NA,"PT"
"Antigua and Barbuda","Romania",2015-09-01,NA,"RO"
"Antigua and Barbuda","Sweden",2015-09-01,0,"SE"
"Antigua and Barbuda","Slovenia",2015-09-01,NA,"SI"
"Antigua and Barbuda","Slovakia",2015-09-01,NA,"SK"
"Antigua and Barbuda","Total",2015-09-01,0,"TOTAL"
"Antigua and Barbuda","United Kingdom",2015-09-01,NA,"UK"
"Albania","Austria",2015-09-01,NA,"AT"
"Albania","Belgium",2015-09-01,110,"BE"
"Albania","Bulgaria",2015-09-01,0,"BG"
"Albania","Switzerland",2015-09-01,125,"CH"
"Albania","Cyprus",2015-09-01,NA,"CY"
"Albania","Czech Republic",2015-09-01,NA,"CZ"
"Albania","Germany (until 1990 former territory of the FRG)",2015-09-01,6740,"DE"
"Albania","Denmark",2015-09-01,NA,"DK"
"Albania","Estonia",2015-09-01,NA,"EE"
"Albania","Greece",2015-09-01,NA,"EL"
"Albania","Spain",2015-09-01,NA,"ES"
"Albania","European Union (28 countries)",2015-09-01,7355,"EU28"
"Albania","Finland",2015-09-01,85,"FI"
"Albania","France",2015-09-01,NA,"FR"
"Albania","Croatia",2015-09-01,NA,"HR"
"Albania","Hungary",2015-09-01,NA,"HU"
"Albania","Ireland",2015-09-01,NA,"IE"
"Albania","Iceland",2015-09-01,NA,"IS"
"Albania","Italy",2015-09-01,NA,"IT"
"Albania","Liechtenstein",2015-09-01,5,"LI"
"Albania","Lithuania",2015-09-01,NA,"LT"
"Albania","Luxembourg",2015-09-01,NA,"LU"
"Albania","Latvia",2015-09-01,NA,"LV"
"Albania","Malta",2015-09-01,NA,"MT"
"Albania","Netherlands",2015-09-01,NA,"NL"
"Albania","Norway",2015-09-01,65,"NO"
"Albania","Poland",2015-09-01,0,"PL"
"Albania","Portugal",2015-09-01,NA,"PT"
"Albania","Romania",2015-09-01,NA,"RO"
"Albania","Sweden",2015-09-01,420,"SE"
"Albania","Slovenia",2015-09-01,NA,"SI"
"Albania","Slovakia",2015-09-01,NA,"SK"
"Albania","Total",2015-09-01,7550,"TOTAL"
"Albania","United Kingdom",2015-09-01,NA,"UK"
"Armenia","Austria",2015-09-01,NA,"AT"
"Armenia","Belgium",2015-09-01,20,"BE"
"Armenia","Bulgaria",2015-09-01,0,"BG"
"Armenia","Switzerland",2015-09-01,10,"CH"
"Armenia","Cyprus",2015-09-01,NA,"CY"
"Armenia","Czech Republic",2015-09-01,NA,"CZ"
"Armenia","Germany (until 1990 former territory of the FRG)",2015-09-01,230,"DE"
"Armenia","Denmark",2015-09-01,NA,"DK"
"Armenia","Estonia",2015-09-01,NA,"EE"
"Armenia","Greece",2015-09-01,NA,"EL"
"Armenia","Spain",2015-09-01,NA,"ES"
"Armenia","European Union (28 countries)",2015-09-01,325,"EU28"
"Armenia","Finland",2015-09-01,0,"FI"
"Armenia","France",2015-09-01,NA,"FR"
"Armenia","Croatia",2015-09-01,NA,"HR"
"Armenia","Hungary",2015-09-01,NA,"HU"
"Armenia","Ireland",2015-09-01,NA,"IE"
"Armenia","Iceland",2015-09-01,NA,"IS"
"Armenia","Italy",2015-09-01,NA,"IT"
"Armenia","Liechtenstein",2015-09-01,0,"LI"
"Armenia","Lithuania",2015-09-01,NA,"LT"
"Armenia","Luxembourg",2015-09-01,NA,"LU"
"Armenia","Latvia",2015-09-01,NA,"LV"
"Armenia","Malta",2015-09-01,NA,"MT"
"Armenia","Netherlands",2015-09-01,NA,"NL"
"Armenia","Norway",2015-09-01,0,"NO"
"Armenia","Poland",2015-09-01,30,"PL"
"Armenia","Portugal",2015-09-01,NA,"PT"
"Armenia","Romania",2015-09-01,NA,"RO"
"Armenia","Sweden",2015-09-01,45,"SE"
"Armenia","Slovenia",2015-09-01,NA,"SI"
"Armenia","Slovakia",2015-09-01,NA,"SK"
"Armenia","Total",2015-09-01,335,"TOTAL"
"Armenia","United Kingdom",2015-09-01,NA,"UK"
"Angola","Austria",2015-09-01,NA,"AT"
"Angola","Belgium",2015-09-01,5,"BE"
"Angola","Bulgaria",2015-09-01,0,"BG"
"Angola","Switzerland",2015-09-01,0,"CH"
"Angola","Cyprus",2015-09-01,NA,"CY"
"Angola","Czech Republic",2015-09-01,NA,"CZ"
"Angola","Germany (until 1990 former territory of the FRG)",2015-09-01,5,"DE"
"Angola","Denmark",2015-09-01,NA,"DK"
"Angola","Estonia",2015-09-01,NA,"EE"
"Angola","Greece",2015-09-01,NA,"EL"
"Angola","Spain",2015-09-01,NA,"ES"
"Angola","European Union (28 countries)",2015-09-01,15,"EU28"
"Angola","Finland",2015-09-01,0,"FI"
"Angola","France",2015-09-01,NA,"FR"
"Angola","Croatia",2015-09-01,NA,"HR"
"Angola","Hungary",2015-09-01,NA,"HU"
"Angola","Ireland",2015-09-01,NA,"IE"
"Angola","Iceland",2015-09-01,NA,"IS"
"Angola","Italy",2015-09-01,NA,"IT"
"Angola","Liechtenstein",2015-09-01,0,"LI"
"Angola","Lithuania",2015-09-01,NA,"LT"
"Angola","Luxembourg",2015-09-01,NA,"LU"
"Angola","Latvia",2015-09-01,NA,"LV"
"Angola","Malta",2015-09-01,NA,"MT"
"Angola","Netherlands",2015-09-01,NA,"NL"
"Angola","Norway",2015-09-01,0,"NO"
"Angola","Poland",2015-09-01,0,"PL"
"Angola","Portugal",2015-09-01,NA,"PT"
"Angola","Romania",2015-09-01,NA,"RO"
"Angola","Sweden",2015-09-01,5,"SE"
"Angola","Slovenia",2015-09-01,NA,"SI"
"Angola","Slovakia",2015-09-01,NA,"SK"
"Angola","Total",2015-09-01,15,"TOTAL"
"Angola","United Kingdom",2015-09-01,NA,"UK"
"Argentina","Austria",2015-09-01,NA,"AT"
"Argentina","Belgium",2015-09-01,0,"BE"
"Argentina","Bulgaria",2015-09-01,0,"BG"
"Argentina","Switzerland",2015-09-01,0,"CH"
"Argentina","Cyprus",2015-09-01,NA,"CY"
"Argentina","Czech Republic",2015-09-01,NA,"CZ"
"Argentina","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"Argentina","Denmark",2015-09-01,NA,"DK"
"Argentina","Estonia",2015-09-01,NA,"EE"
"Argentina","Greece",2015-09-01,NA,"EL"
"Argentina","Spain",2015-09-01,NA,"ES"
"Argentina","European Union (28 countries)",2015-09-01,0,"EU28"
"Argentina","Finland",2015-09-01,0,"FI"
"Argentina","France",2015-09-01,NA,"FR"
"Argentina","Croatia",2015-09-01,NA,"HR"
"Argentina","Hungary",2015-09-01,NA,"HU"
"Argentina","Ireland",2015-09-01,NA,"IE"
"Argentina","Iceland",2015-09-01,NA,"IS"
"Argentina","Italy",2015-09-01,NA,"IT"
"Argentina","Liechtenstein",2015-09-01,0,"LI"
"Argentina","Lithuania",2015-09-01,NA,"LT"
"Argentina","Luxembourg",2015-09-01,NA,"LU"
"Argentina","Latvia",2015-09-01,NA,"LV"
"Argentina","Malta",2015-09-01,NA,"MT"
"Argentina","Netherlands",2015-09-01,NA,"NL"
"Argentina","Norway",2015-09-01,0,"NO"
"Argentina","Poland",2015-09-01,0,"PL"
"Argentina","Portugal",2015-09-01,NA,"PT"
"Argentina","Romania",2015-09-01,NA,"RO"
"Argentina","Sweden",2015-09-01,0,"SE"
"Argentina","Slovenia",2015-09-01,NA,"SI"
"Argentina","Slovakia",2015-09-01,NA,"SK"
"Argentina","Total",2015-09-01,0,"TOTAL"
"Argentina","United Kingdom",2015-09-01,NA,"UK"
"Austria","Austria",2015-09-01,NA,"AT"
"Austria","Belgium",2015-09-01,0,"BE"
"Austria","Bulgaria",2015-09-01,0,"BG"
"Austria","Switzerland",2015-09-01,0,"CH"
"Austria","Cyprus",2015-09-01,NA,"CY"
"Austria","Czech Republic",2015-09-01,NA,"CZ"
"Austria","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"Austria","Denmark",2015-09-01,NA,"DK"
"Austria","Estonia",2015-09-01,NA,"EE"
"Austria","Greece",2015-09-01,NA,"EL"
"Austria","Spain",2015-09-01,NA,"ES"
"Austria","European Union (28 countries)",2015-09-01,0,"EU28"
"Austria","Finland",2015-09-01,0,"FI"
"Austria","France",2015-09-01,NA,"FR"
"Austria","Croatia",2015-09-01,NA,"HR"
"Austria","Hungary",2015-09-01,NA,"HU"
"Austria","Ireland",2015-09-01,NA,"IE"
"Austria","Iceland",2015-09-01,NA,"IS"
"Austria","Italy",2015-09-01,NA,"IT"
"Austria","Liechtenstein",2015-09-01,0,"LI"
"Austria","Lithuania",2015-09-01,NA,"LT"
"Austria","Luxembourg",2015-09-01,NA,"LU"
"Austria","Latvia",2015-09-01,NA,"LV"
"Austria","Malta",2015-09-01,NA,"MT"
"Austria","Netherlands",2015-09-01,NA,"NL"
"Austria","Norway",2015-09-01,0,"NO"
"Austria","Poland",2015-09-01,0,"PL"
"Austria","Portugal",2015-09-01,NA,"PT"
"Austria","Romania",2015-09-01,NA,"RO"
"Austria","Sweden",2015-09-01,0,"SE"
"Austria","Slovenia",2015-09-01,NA,"SI"
"Austria","Slovakia",2015-09-01,NA,"SK"
"Austria","Total",2015-09-01,0,"TOTAL"
"Austria","United Kingdom",2015-09-01,NA,"UK"
"Australia","Austria",2015-09-01,NA,"AT"
"Australia","Belgium",2015-09-01,0,"BE"
"Australia","Bulgaria",2015-09-01,0,"BG"
"Australia","Switzerland",2015-09-01,0,"CH"
"Australia","Cyprus",2015-09-01,NA,"CY"
"Australia","Czech Republic",2015-09-01,NA,"CZ"
"Australia","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"Australia","Denmark",2015-09-01,NA,"DK"
"Australia","Estonia",2015-09-01,NA,"EE"
"Australia","Greece",2015-09-01,NA,"EL"
"Australia","Spain",2015-09-01,NA,"ES"
"Australia","European Union (28 countries)",2015-09-01,0,"EU28"
"Australia","Finland",2015-09-01,0,"FI"
"Australia","France",2015-09-01,NA,"FR"
"Australia","Croatia",2015-09-01,NA,"HR"
"Australia","Hungary",2015-09-01,NA,"HU"
"Australia","Ireland",2015-09-01,NA,"IE"
"Australia","Iceland",2015-09-01,NA,"IS"
"Australia","Italy",2015-09-01,NA,"IT"
"Australia","Liechtenstein",2015-09-01,0,"LI"
"Australia","Lithuania",2015-09-01,NA,"LT"
"Australia","Luxembourg",2015-09-01,NA,"LU"
"Australia","Latvia",2015-09-01,NA,"LV"
"Australia","Malta",2015-09-01,NA,"MT"
"Australia","Netherlands",2015-09-01,NA,"NL"
"Australia","Norway",2015-09-01,0,"NO"
"Australia","Poland",2015-09-01,0,"PL"
"Australia","Portugal",2015-09-01,NA,"PT"
"Australia","Romania",2015-09-01,NA,"RO"
"Australia","Sweden",2015-09-01,0,"SE"
"Australia","Slovenia",2015-09-01,NA,"SI"
"Australia","Slovakia",2015-09-01,NA,"SK"
"Australia","Total",2015-09-01,0,"TOTAL"
"Australia","United Kingdom",2015-09-01,NA,"UK"
"Azerbaijan","Austria",2015-09-01,NA,"AT"
"Azerbaijan","Belgium",2015-09-01,0,"BE"
"Azerbaijan","Bulgaria",2015-09-01,0,"BG"
"Azerbaijan","Switzerland",2015-09-01,0,"CH"
"Azerbaijan","Cyprus",2015-09-01,NA,"CY"
"Azerbaijan","Czech Republic",2015-09-01,NA,"CZ"
"Azerbaijan","Germany (until 1990 former territory of the FRG)",2015-09-01,135,"DE"
"Azerbaijan","Denmark",2015-09-01,NA,"DK"
"Azerbaijan","Estonia",2015-09-01,NA,"EE"
"Azerbaijan","Greece",2015-09-01,NA,"EL"
"Azerbaijan","Spain",2015-09-01,NA,"ES"
"Azerbaijan","European Union (28 countries)",2015-09-01,175,"EU28"
"Azerbaijan","Finland",2015-09-01,0,"FI"
"Azerbaijan","France",2015-09-01,NA,"FR"
